;Photic_zone;Lyso_PC_O_C18_0;Rhodosamine;C7H11N2O2_Cyclo_Pro_Gly;C7H15N3O2_Amidinonorleucine;PC_O_C18_0_O_1_0;C9H12NO2_Phenylalanine;C19H18N4O4_alkaloid;Salsolinol;C7H16NO2_Methyl_isoleucine;C5H5N4O_Hypoxanthine;C5H10N3O2;Gly_Lys;Gln_Pro;Ala_Pro;C37H48N3O5_ni
1;1.Mesophotic;-0.8543759;0.72071596;0.7809385;-0.7044557;-0.7520922;0.7052264;0.756054;0.6290681;-0.6079759;-0.6780004;0.6420931;-0.4375018;-0.4017228;0.561527;-0.5009257
2;2.Upper rariphotic;0.4744049;0.06294577;-0.3951117;0.2140671;0.557066;-0.3706509;-0.9126729;-0.3210311;0.326844;0.7838183;-0.7671848;-0.2413099;-0.3881545;-0.4652456;0.1829898
3;3.Lower rariphotic;1.1257838;-1.28047434;-1.0565291;1.0547332;0.8913966;-0.9442088;-0.6441834;-0.8490945;0.8087844;0.6024162;-0.552742;0.9223673;0.9659209;-0.6302994;0.7280228
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Photic_zone;1.Mesophotic;2.Upper rariphotic;3.Lower rariphotic;;;;;;;;;;;;
;Lyso_PC_O_C18_0;-0.8543759;0.4744049;1.1257838;;;;;;;;;;;;
;Rhodosamine;0.72071596;0.06294577;-1.28047434;;;;;;;;;;;;
;C7H11N2O2_Cyclo_Pro_Gly;0.7809385;-0.3951117;-1.0565291;;;;;;;;;;;;
;C7H15N3O2_Amidinonorleucine;-0.7044557;0.2140671;1.0547332;;;;;;;;;;;;
;PC_O_C18_0_O_1_0;-0.7520922;0.557066;0.8913966;;;;;;;;;;;;
;C9H12NO2_Phenylalanine;0.7052264;-0.3706509;-0.9442088;;;;;;;;;;;;
;C19H18N4O4_alkaloid;0.756054;-0.9126729;-0.6441834;;;;;;;;;;;;
;Salsolinol;0.6290681;-0.3210311;-0.8490945;;;;;;;;;;;;
;C7H16NO2_Methyl_isoleucine;-0.6079759;0.326844;0.8087844;;;;;;;;;;;;
;C5H5N4O_Hypoxanthine;-0.6780004;0.7838183;0.6024162;;;;;;;;;;;;
;C5H10N3O2;0.6420931;-0.7671848;-0.552742;;;;;;;;;;;;
;Gly_Lys;-0.4375018;-0.2413099;0.9223673;;;;;;;;;;;;
;Gln_Pro;-0.4017228;-0.3881545;0.9659209;;;;;;;;;;;;
;Ala_Pro;0.561527;-0.4652456;-0.6302994;;;;;;;;;;;;
;C37H48N3O5_ni;-0.5009257;0.1829898;0.7280228;;;;;;;;;;;;
